title;genre;distributor;year
Flickan som lekte med elden;Thriller-or-Suspense;;2009
Luftslottet som sprängdes;Thriller-or-Suspense;Music Box Films;2010
Chloe;Thriller-or-Suspense;Sony Pictures Classics;2010
Los abrazos rotos;Thriller-or-Suspense;Sony Pictures Classics;2009
N-Secure;Thriller-or-Suspense;Freestyle Releasing;2010
Harry Brown;Thriller-or-Suspense;Samuel Goldwyn Films;2010
Kites;Thriller-or-Suspense;Big Pictures;2010
Casino Jack;Thriller-or-Suspense;Samuel Goldwyn Films;2010
Buried;Thriller-or-Suspense;Lionsgate;2010
Law Abiding Citizen;Thriller-or-Suspense;Overture Films;2009
The Square;Thriller-or-Suspense;Apparition;2010
Les herbes folles;Thriller-or-Suspense;Sony Pictures Classics;2010
L'affaire Farewell, l'espion de la vengeance;Thriller-or-Suspense;;2010
La Soga;Thriller-or-Suspense;7-57 Releasing;2010
Twelve;Thriller-or-Suspense;Hannover House;2010
Armored;Thriller-or-Suspense;Sony Pictures;2009
The Disappearance of Alice Creed;Thriller-or-Suspense;Anchor Bay Entertainment;2010
Bellamy;Thriller-or-Suspense;IFC Films;2010
Tirez sur le pianiste;Thriller-or-Suspense;Janus Films;2010
Ca$h;Thriller-or-Suspense;Roadside Attractions;2010
L'armée du crime;Thriller-or-Suspense;Lorber Films;2010
In My Sleep;Thriller-or-Suspense;Morning Star Pictures;2010
Dead Awake;Thriller-or-Suspense;New Films Cinema;2010
Red Hill;Thriller-or-Suspense;Sony Pictures;2010
Dreamkiller;Thriller-or-Suspense;;2010
Revanche;Thriller-or-Suspense;Janus Films;2009
Le combat dans l'île;Thriller-or-Suspense;The Film Desk;2009
Shanghai Red;Thriller-or-Suspense;Indican Pictures;2010
The Box;Thriller-or-Suspense;Warner Bros.;2009
Midnight Reckoning;Thriller-or-Suspense;Winter Star Entertainment;2010
The Oxford Murders;Thriller-or-Suspense;Magnolia Pictures;2010
Inhale;Thriller-or-Suspense;IFC Films;2010
Zenith;Thriller-or-Suspense;Cinema Purgatorio;2010
As Good as Dead;Thriller-or-Suspense;Alchemy;2010
Falling Awake;Thriller-or-Suspense;IFC Films;2010
Daddy's Home;Thriller-or-Suspense;Self Distributed;2010
Super 8;Thriller-or-Suspense;Paramount Pictures;2011
Limitless;Thriller-or-Suspense;Relativity;2011
Contagion;Thriller-or-Suspense;Warner Bros.;2011
Unknown;Thriller-or-Suspense;Warner Bros.;2011
The Adjustment Bureau;Thriller-or-Suspense;Universal;2011
Black Swan;Thriller-or-Suspense;Fox Searchlight;2010
The Lincoln Lawyer;Thriller-or-Suspense;Lionsgate;2011
The Girl with the Dragon Tattoo;Thriller-or-Suspense;Sony Pictures;2011
Source Code;Thriller-or-Suspense;Summit Entertainment;2011
Hanna;Thriller-or-Suspense;Focus Features;2011
Red Riding Hood;Thriller-or-Suspense;Warner Bros.;2011
The Roommate;Thriller-or-Suspense;Sony Pictures;2011
In Time;Thriller-or-Suspense;20th Century Fox;2011
Colombiana;Thriller-or-Suspense;Sony Pictures;2011
The Debt;Thriller-or-Suspense;Focus Features;2011
Abduction;Thriller-or-Suspense;Lionsgate;2011
Apollo 18;Thriller-or-Suspense;Weinstein Co.;2011
The Tourist;Thriller-or-Suspense;Sony Pictures;2010
Straw Dogs;Thriller-or-Suspense;Sony Pictures;2011
Anonymous;Thriller-or-Suspense;Sony Pictures;2011
Tinker Tailor Soldier Spy;Thriller-or-Suspense;Focus Features;2011
La piel que habito;Thriller-or-Suspense;Sony Pictures Classics;2011
Martha Marcy May Marlene;Thriller-or-Suspense;Fox Searchlight;2011
Melancholia;Thriller-or-Suspense;Magnolia Pictures;2011
La doppia ora;Thriller-or-Suspense;Samuel Goldwyn Films;2011
Casino Jack;Thriller-or-Suspense;Samuel Goldwyn Films;2010
A bout portant;Thriller-or-Suspense;Magnolia Pictures;2011
Crime d'amour;Thriller-or-Suspense;IFC Films;2011
Di Renjie;Thriller-or-Suspense;Indomina Releasing;2011
Munger Road;Thriller-or-Suspense;Freestyle Releasing;2011
Hanyo;Thriller-or-Suspense;IFC Films;2011
Luftslottet som sprängdes;Thriller-or-Suspense;Music Box Films;2010
Cold Weather;Thriller-or-Suspense;IFC Films;2011
