title;genre;distributor;year
The Man From U.N.C.L.E.;Action;Warner Bros.;2015
Chappie;Action;Sony Pictures;2015
The Last Witch Hunter;Action;Lionsgate;2015
Run All Night;Action;Warner Bros.;2015
Hitman: Agent 47;Action;Universal;2015
The Transporter Refueled;Action;EuropaCorp;2015
Point Break;Action;Warner Bros.;2015
Bajrangi Bhaijaan;Action;Eros Entertainment;2015
Doragon bôru Z: Fukkatsu no 'F';Action;FUNimation;2015
Mortdecai;Action;Lionsgate;2015
Baahubali: The Beginning;Action;Bluesky Cinemas;2015
Beyond the Mask;Action;Gathr Films;2015
Veteran;Action;CJ Entertainment;2015
Lao pao er;Action;Walt Disney;2015
Singh Is Bliing;Action;Eros Entertainment;2015
Brothers;Action;Fox International;2015
Phantom;Action;UTV Communications;2015
The Last: Naruto the Movie;Action;Eleven Arts;2015
The Maze Runner;Action;20th Century Fox;2014
Gabbar is Back;Action;Eros Entertainment;2015
Boruto: Naruto the Movie;Action;Eleven Arts;2015
Shingeki no kyojin;Action;FUNimation;2015
Shingeki no kyojin endo obu za wârudo;Action;FUNimation;2014
Tevar;Action;Eros Entertainment;2015
Heneral Luna;Action;Abramorama Films;2015
The Equalizer;Action;Sony Pictures;2014
Zhong Kui fu mo: Xue yao mo ling;Action;Well Go USA;2015
Yi ge ren de wu lin;Action;Well Go USA;2015
Guardians of the Galaxy;Action;Walt Disney;2014
John Wick;Action;Lionsgate;2014
Memories of the Sword;Action;Well Go USA;2015
Kôkaku Kidôtai;Action;FUNimation;2015
Jie jiu wu xian sheng;Action;Dada Films;2015
Tian jiang xiong shi;Action;Lionsgate;2015
Bou Chau Mai Sing;Action;Well Go USA;2015
Americons;Action;Archstone Entertainment;2015
Big Game;Action;EuropaCorp;2015
The Challenger;Action;Freestyle Releasing;2015
Jigoku de naze warui;Action;Drafthouse Films;2014
The Dead Lands;Action;Magnolia Pictures;2015
Wild Card;Action;Lionsgate;2015
Tracers;Action;Lionsgate;2015
Everly;Action;RADiUS-TWC;2015
Son of a Gun;Action;A24;2015
Skin Trade;Action;Magnolia Pictures;2015
