title;genre;distributor;year
Celeste and Jesse Forever;Romantic-Comedy;Sony Pictures Classics;2012
Barfi;Romantic-Comedy;UTV Communications;2012
Ruby Sparks;Romantic-Comedy;Fox Searchlight;2012
Hysteria;Romantic-Comedy;Sony Pictures Classics;2012
Ek Main Aur Ekk Tu;Romantic-Comedy;UTV Communications;2012
Cocktail;Romantic-Comedy;Eros Entertainment;2012
Teri Meri Kahaani;Romantic-Comedy;Eros Entertainment;2012
2 Days in New York;Romantic-Comedy;Magnolia Pictures;2012
Midnight in Paris;Romantic-Comedy;Sony Pictures Classics;2011
Student of the Year;Romantic-Comedy;Eros Entertainment;2012
Tere Naal Love Ho Gaya;Romantic-Comedy;UTV Communications;2012
Jodi Breakers;Romantic-Comedy;Yash Raj Films;2012
Aiyyaa;Romantic-Comedy;UTV Communications;2012
The First Time;Romantic-Comedy;Samuel Goldwyn Films;2012
Take Me Home;Romantic-Comedy;Monterey Media;2012
A Little Bit of Heaven;Romantic-Comedy;Alchemy;2012
The Giant Mechanical Man;Romantic-Comedy;TriBeca Films;2012
Save the Date;Romantic-Comedy;IFC Films;2012
You Instead;Romantic-Comedy;Roadside Attractions;2012
Vamps;Romantic-Comedy;Anchor Bay Entertainment;2012
Cheerful Weather for the Wedding;Romantic-Comedy;IFC Films;2012
Warm Bodies;Romantic-Comedy;Lionsgate;2013
Don Jon;Romantic-Comedy;Relativity;2013
The Big Wedding;Romantic-Comedy;Lionsgate;2013
Baggage Claim;Romantic-Comedy;Fox Searchlight;2013
Admission;Romantic-Comedy;Focus Features;2013
About Time;Romantic-Comedy;Universal;2013
Peeples;Romantic-Comedy;Lionsgate;2013
Pulling Strings;Romantic-Comedy;Lionsgate;2013
Chennai Express;Romantic-Comedy;UTV Communications;2013
Much Ado About Nothing;Romantic-Comedy;Disney;2013
Austenland;Romantic-Comedy;Weinstein Co.;2013
Den skaldede frisør;Romantic-Comedy;Millenium Films;2013
Besharam;Romantic-Comedy;Reliance Big Pictures;2013
Shuddh Desi Romance;Romantic-Comedy;Yash Raj Films;2013
Playing for Keeps;Romantic-Comedy;FilmDistrict;2012
Upside Down;Romantic-Comedy;Alchemy;2013
Jewtopia;Romantic-Comedy;Le Petit Canyon Productions;2013
I Give It a Year;Romantic-Comedy;Magnolia Pictures;2013
A Wedding Invitation;Romantic-Comedy;CJ Entertainment;2013
Dorfman in Love;Romantic-Comedy;Brainstorm Media;2013
Shanghai Calling;Romantic-Comedy;Starz Media;2013
200 Cartas;Romantic-Comedy;Vanguardia Films;2013
Red Flag;Romantic-Comedy;TriBeca Films;2013
Sparrows Dance;Romantic-Comedy;TriBeca Films;2013
La stratégie de la poussette;Romantic-Comedy;Rialto Pictures;2013
Think Like a Man Too;Romantic-Comedy;Sony Pictures;2014
About Last Night;Romantic-Comedy;Sony Pictures;2014
Blended;Romantic-Comedy;Warner Bros.;2014
That Awkward Moment;Romantic-Comedy;FilmDistrict;2014
Magic in the Moonlight;Romantic-Comedy;Universal;2014
What If;Romantic-Comedy;CBS Films;2014
Obvious Child;Romantic-Comedy;A24;2014
Words and Pictures;Romantic-Comedy;Disney;2014
Hector and the Search for Happiness;Romantic-Comedy;Relativity;2014
Khoobsurat;Romantic-Comedy;UTV Communications;2014
Finding Fanny;Romantic-Comedy;FIP;2014
The One I Love;Romantic-Comedy;RADiUS-TWC;2014
Laggies;Romantic-Comedy;A24;2014
Hasee Toh Phasee;Romantic-Comedy;Reliance Entertainment;2014
Casse-tête chinois;Romantic-Comedy;Cohen Media Group;2014
Happy Ending;Romantic-Comedy;Eros Entertainment;2014
Aa Gaye Munde U.K. De;Romantic-Comedy;Yash Raj Films;2014
Girl on a Bicycle;Romantic-Comedy;Monterey Media;2014
Lucky Them;Romantic-Comedy;IFC Films;2014
The M Word;Romantic-Comedy;;2014
Christian Mingle, The Movie;Romantic-Comedy;Rocky Mountain Pictures;2014
Hank and Asha;Romantic-Comedy;FilmRise;2014
Two Night Stand;Romantic-Comedy;Entertainment One;2014
Barefoot;Romantic-Comedy;Roadside Attractions;2014
Amour & turbulences;Romantic-Comedy;Variance Films;2014
Comet;Romantic-Comedy;IFC Films;2014
El misterio de la felicidad;Romantic-Comedy;Strand;2014
Don Jon;Romantic-Comedy;Relativity;2013
Situation amoureuse: C'est compliqué;Romantic-Comedy;Distrib Films;2014
Trainwreck;Romantic-Comedy;Universal;2015
I'll See You in My Dreams;Romantic-Comedy;Bleecker Street;2015
Dilwale;Romantic-Comedy;GKIDS;2015
A La Mala;Romantic-Comedy;Lionsgate;2015
Xia Luo Te Fan Nao;Romantic-Comedy;studio;2015
Big Stone Gap;Romantic-Comedy;Picturehouse;2015
Sleeping with Other People;Romantic-Comedy;IFC Films;2015
Zan men jie hun ba;Romantic-Comedy;studio;2015
Katti Batti;Romantic-Comedy;UTV Communications;2015
After the Ball;Romantic-Comedy;Freestyle Releasing;2015
5 to 7;Romantic-Comedy;IFC Films;2015
Only You;Romantic-Comedy;China Lion Film Distribution;2015
Amira & Sam;Romantic-Comedy;Drafthouse Films;2015
Les combattants;Romantic-Comedy;Strand;2015
Slow Learners;Romantic-Comedy;IFC Films;2015
Boy Meets Girl;Romantic-Comedy;Bramacharia LLC;2015
Love, Rosie;Romantic-Comedy;Film Arcade;2015
B-Side;Romantic-Comedy;Indican Pictures;2015
Meet Me in Montenegro;Romantic-Comedy;The Orchard;2015
One Small Hitch;Romantic-Comedy;Freestyle Releasing;2015
This Isn't Funny;Romantic-Comedy;Candy Factory Films;2015
La navaja de Don Juan;Romantic-Comedy;Indican Pictures;2015
Me, You and Five Bucks;Romantic-Comedy;Indican Pictures;2015
