title;genre;distributor;year
Alvin and the Chipmunks: The Squeakquel;Adventure;20th Century Fox;2009
Paul Blart: Mall Cop;Adventure;Sony Pictures;2009
Sherlock Holmes;Adventure;Warner Bros.;2009
Cloudy with a Chance of Meatballs;Adventure;Sony Pictures;2009
G-Force;Adventure;Walt Disney;2009
The Princess and the Frog;Adventure;Walt Disney;2009
Where the Wild Things Are;Adventure;Warner Bros.;2009
Coraline;Adventure;Focus Features;2009
Hotel for Dogs;Adventure;Paramount Pictures;2009
Race to Witch Mountain;Adventure;Walt Disney;2009
Planet 51;Adventure;Sony Pictures;2009
The Pink Panther 2;Adventure;Sony Pictures;2009
9;Adventure;Focus Features;2009
Toy Story 3D Double Feature;Adventure;Walt Disney;2009
Aliens in the Attic;Adventure;20th Century Fox;2009
Bedtime Stories;Adventure;Walt Disney;2008
Shorts;Adventure;Warner Bros.;2009
Astro Boy;Adventure;Summit Entertainment;2009
Fantastic Mr. Fox;Adventure;20th Century Fox;2009
Inkheart;Adventure;Warner Bros.;2009
Imagine That;Adventure;Paramount Pictures;2009
Gake no ue no Ponyo;Adventure;Walt Disney;2009
Dragonball Evolution;Adventure;20th Century Fox;2009
The Tale of Despereaux;Adventure;Universal;2008
The Day the Earth Stood Still;Adventure;20th Century Fox;2008
Bolt;Adventure;Walt Disney;2008
Madagascar: Escape 2 Africa;Adventure;Paramount Pictures;2008
Fly Me To the Moon;Adventure;Summit Entertainment;2008
Battle for Terra;Adventure;Roadside Attractions;2009
The Imaginarium of Doctor Parnassus;Adventure;Sony Pictures Classics;2009
Beverly Hills Chihuahua;Adventure;Walt Disney;2008
The Polar Express;Adventure;Warner Bros.;2004
El delfín: La historia de un soñador;Adventure;;2010
Evangerion shin gekijôban: Jo;Adventure;Eleven Arts;2009
Igor;Adventure;MGM;2008
Super Capers;Adventure;Roadside Attractions;2009
Severed Ways: The Norse Discovery of America;Adventure;Magnolia Pictures;2009
A Town Called Panic;Adventure;Zeitgeist;2009
Santa vs. The Snowman;Adventure;IMAX Films;2002
City of Ember;Adventure;20th Century Fox;2008
Confessions of a Ex-Doofus-Itchy Footed Mutha;Adventure;Self Distributed;2009
WALL-E;Adventure;Walt Disney;2008
Toy Story 3;Adventure;Walt Disney;2010
Alice in Wonderland;Adventure;Walt Disney;2010
Harry Potter and the Deathly Hallows: Part I;Adventure;Warner Bros.;2010
Despicable Me;Adventure;Universal;2010
Shrek Forever After;Adventure;Paramount Pictures;2010
How to Train Your Dragon;Adventure;Paramount Pictures;2010
Megamind;Adventure;Paramount Pictures;2010
The Last Airbender;Adventure;Paramount Pictures;2010
Tron: Legacy;Adventure;Walt Disney;2010
Percy Jackson & the Olympians: The Lightning Thief;Adventure;20th Century Fox;2010
The Chronicles of Narnia: The Voyage of the Dawn Treader;Adventure;20th Century Fox;2010
Sherlock Holmes;Adventure;Warner Bros.;2009
Yogi Bear;Adventure;Warner Bros.;2010
Diary of a Wimpy Kid;Adventure;20th Century Fox;2010
Alvin and the Chipmunks: The Squeakquel;Adventure;20th Century Fox;2009
The Sorcerer's Apprentice;Adventure;Walt Disney;2010
Tooth Fairy;Adventure;20th Century Fox;2010
Legend of the Guardians: The Owls of Ga'Hoole;Adventure;Warner Bros.;2010
Cats & Dogs: The Revenge of Kitty Galore;Adventure;Warner Bros.;2010
Marmaduke;Adventure;20th Century Fox;2010
Nanny McPhee and the Big Bang;Adventure;Universal;2010
Gulliver's Travels;Adventure;20th Century Fox;2010
Ramona and Beezus;Adventure;20th Century Fox;2010
Alpha and Omega;Adventure;Lionsgate;2010
The Spy Next Door;Adventure;Lionsgate;2010
The Princess and the Frog;Adventure;Walt Disney;2009
Furry Vengeance;Adventure;Summit Entertainment;2010
The Imaginarium of Doctor Parnassus;Adventure;Sony Pictures Classics;2009
Planet 51;Adventure;Sony Pictures;2009
Fantastic Mr. Fox;Adventure;20th Century Fox;2009
The Secret of Kells;Adventure;GKIDS;2010
